time	source	coord
2019-08-16	https://imgur.com/GPovHas	[[-175.8,-40.8],[-171.5,-41.8],[-171.9,42.9],[-176.3,-41.7],[-163.5,-43.5],[-152.0,-44.25],[-152.0,45.5],[-163.9,-44.7],[-175.8,-40.8]]
2019-07-30	http://www.satobs.org/seesat/Jul-2019/0209.html	[[155.0,-46.5],[176.0,-57.0],[172.56666666666666,-60.0],[151.0,-49.25],[155.0,-46.5]]
2019-07-10	http://www.satobs.org/seesat/Jul-2019/0059.html	[[44.4,-26.966666666666665],[62.36666666666667,-65.1],[58.9,-65.75],[42.46666666666667,-27.316666666666666],[44.4,-26.966666666666665]]
2019-07-01	http://www.satobs.org/seesat/Jul-2019/0131.html	[[-147.98333333333332,-27.266666666666666],[-142.46666666666667,-29.333333333333332],[-157.8,-44.86666666666667],[-164.21666666666667,-40.45],[-147.98333333333332,-27.266666666666666]]
2019-07-01	http://www.satobs.org/seesat/Jul-2019/0209.html	[[-163.81666666666666,-30.316666666666666],[-158.56666666666666,-34.56666666666667],[-92.41666666666667,-49.0],[-92.28333333333333,-52.06666666666667],[-163.81666666666666,-30.316666666666666]]
2019-07-01	http://www.satobs.org/seesat/Jul-2019/0209.html	[[-171.68333333333334,-37.4],[-172.33333333333334,-40.3],[-92.56666666666666,-45.0],[-91.41666666666667,-48.083333333333336],[-171.68333333333334,-37.4]]
2019-06-15	http://www.satobs.org/seesat/Jul-2019/0001.html	[[-123.3,-2.6],[-120.85,7.85],[-120.25,7.7],[-122.8,-2.75],[-123.3,-2.6]]
2019-06-01	http://www.satobs.org/seesat/Jun-2019/0003.html	[[-166.23333333333332,-29.45],[-161.11666666666667,-33.75],[-132.88333333333333,-47.31666666666667],[-118.56666666666666,-50.05],[-93.3,-49.11666666666667],[-92.28333333333333,-51.88333333333333],[-118.68333333333334,-52.28333333333333],[-133.21666666666667,-49.85],[-160.86666666666667,-36.53333333333333],[-167.31666666666666,-32.25],[-166.23333333333332,-29.45]]
2019-06-01	http://www.satobs.org/seesat/Jun-2019/0003.html	[[-166.23333333333332,-29.45],[-161.11666666666667,-33.75],[-132.88333333333333,-47.31666666666667],[-118.56666666666666,-50.05],[-93.3,-49.11666666666667],[-92.28333333333333,-51.88333333333333],[-118.68333333333334,-52.28333333333333],[-133.21666666666667,-49.85],[-160.86666666666667,-36.53333333333333],[-167.31666666666666,-32.25],[-166.23333333333332,-29.45]]
2019-06-01	http://www.satobs.org/seesat/Jun-2019/0003.html	[[-171.66666666666666,-38.3],[-164.93333333333334,-42.0],[-130.06666666666666,-50.56666666666667],[-114.4,-50.416666666666664],[-92.68333333333334,-45.6],[-90.7,-47.333333333333336],[-115.41666666666667,-52.25],[-130.5,-52.68333333333333],[-164.65,-44.733333333333334],[-172.4,-41.11666666666667],[-171.66666666666666,-38.3]]
2019-06-01	http://www.satobs.org/seesat/Jun-2019/0021.html 	[[177.98766666666666,-18.570166666666665],[178.52366666666666,-18.0585],[-179.45166666666665,-19.9725],[-179.98766666666666,-20.487666666666666],[177.98766666666666,-18.570166666666665]]
2019-06-01	http://www.satobs.org/seesat/May-2019/0294.html	[[-119.76972222222223,32.08777777777778],[-120.17,31.71472222222222],[-120.60972222222222,31.323888888888888],[-121.06,30.921944444444446],[-121.53,30.515833333333333],[-122.03,30.080833333333334],[-122.64,30.583888888888886],[-123.26,31.085833333333333],[-122.76,31.528888888888886],[-122.28,31.92888888888889],[-121.78999999999999,32.30888888888889],[-121.29972222222221,32.66277777777778],[-119.76972222222223,32.08777777777778]]
2019-06-01	http://www.satobs.org/seesat/May-2019/0295.html	[[-166.23333333333332,-29.45],[-161.11666666666667,-33.75],[-132.88333333333333,-47.31666666666667],[-118.56666666666666,-50.05],[-93.3,-49.11666666666667],[-92.28333333333333,-51.88333333333333],[-118.68333333333334,-52.28333333333333],[-133.21666666666667,-49.85],[-160.86666666666667,-36.53333333333333],[-167.31666666666666,-32.25],[-166.23333333333332,-29.45]]
2019-05-16	http://www.satobs.org/seesat/May-2019/0142.html	[[60.11666666666667,-29.716666666666665],[64.45,-24.916666666666668],[84.5,-38.75],[99.75,-45.2],[119.21666666666667,-49.766666666666666],[138.31666666666666,-50.7],[156.73333333333332,-48.833333333333336],[158.13333333333333,-51.766666666666666],[148.53333333333333,-54.7],[131.05,-56.333333333333336],[107.83333333333333,-55.86666666666667],[85.08333333333333,-49.18333333333333],[64.21666666666667,-34.53333333333333],[60.11666666666667,-29.716666666666665]]
2019-05-04	http://www.satobs.org/seesat/Apr-2019/0195.html	[[-175.98333333333332,-39.43333333333333],[-171.5,-39.45],[-171.48333333333332,-40.666666666666664],[-176.0,-40.6],[-175.98333333333332,-39.43333333333333]]
2019-05-01	http://www.satobs.org/seesat/May-2019/0010.html	[[89.91666666666667,-27.583333333333332],[167.75,-49.75],[150.41666666666666,-59.583333333333336],[93.75,-42.333333333333336],[89.91666666666667,-27.583333333333332]]
2019-05-01	http://www.satobs.org/seesat/May-2019/0182.html	[[165.82,-59.71],[-126.02,-57.48],[-122.08,-60.39],[162.56,-62.55],[165.82,-59.71]]
2019-05-01	http://www.satobs.org/seesat/Apr-2019/0173.html	[[88.76666666666667,-29.416666666666668],[89.78333333333333,-27.833333333333332],[92.91666666666667,-28.533333333333335],[118.25,-40.63333333333333],[135.48333333333332,-45.7],[164.5,-48.86666666666667],[165.85,-50.56666666666667],[160.85,-52.266666666666666],[151.76666666666668,-53.4],[134.75,-52.96666666666667],[117.66666666666667,-49.483333333333334],[101.56666666666666,-42.06666666666667],[92.98333333333333,-35.25],[88.76666666666667,-29.416666666666668]]
2019-03-25	http://www.satobs.org/seesat/Mar-2019/0099.html	[[-176.0,-39.0],[-171.5,-39.0],[-171.5,-40.25],[-176.0,-40.25],[-176.0,-39.0]]
2019-03-15	http://www.satobs.org/seesat/Mar-2019/0054.html	[[86.7,-30.966666666666665],[89.56666666666666,-18.583333333333332],[89.96666666666667,-18.683333333333334],[87.1,-31.05],[86.7,-30.966666666666665]]
2019-01-01	http://www.satobs.org/seesat/Jan-2019/0045.html	[[-120.11999999999999,31.149722222222223],[-120.45972222222223,31.413888888888888],[-120.81,31.696944444444444],[-121.18,31.99388888888889],[-121.56,32.30083333333333],[-121.76972222222223,32.481944444444444],[-121.12972222222221,32.969722222222224],[-120.48972222222223,33.45777777777778],[-120.26972222222223,33.26583333333333],[-119.92,32.934999999999995],[-119.58999999999999,32.60277777777778],[-119.28,32.276944444444446],[-120.11999999999999,31.149722222222223]]
2019-01-01	http://www.satobs.org/seesat/Jan-2019/0109.html	[[-164.61666666666667,-38.583333333333336],[-127.26666666666667,-50.28333333333333],[-98.98333333333333,-48.15],[-98.18333333333334,-51.13333333333333],[-127.41666666666667,-52.483333333333334],[-165.31666666666666,-41.416666666666664],[-160.23333333333332,-37.1],[-122.6,-50.05],[-92.31666666666666,-48.166666666666664],[-91.4,-51.13333333333333],[-122.81666666666666,-52.3],[-161.01666666666668,-39.93333333333333],[-164.61666666666667,-38.583333333333336]]
2018-12-27	http://www.satobs.org/seesat/Dec-2018/0144.html	[[-45.333333333333336,27.75],[-44.25,27.583333333333332],[-47.75,10.25],[-48.833333333333336,10.5],[-45.333333333333336,27.75]]
2018-12-13	http://www.satobs.org/seesat/Dec-2018/0046.html 	[[179.0,-55.2],[-179.4,-55.1],[-177.6,-60.7],[-179.5,-60.8],[179.0,-55.2]]
2018-12-01	http://www.satobs.org/seesat/Dec-2018/0019.html	[[90.88333333333334,-33.81666666666667],[92.33333333333333,-31.516666666666666],[115.13333333333334,-43.06666666666667],[138.23333333333332,-48.733333333333334],[168.75,-49.71666666666667],[168.98333333333332,-51.4],[157.88333333333333,-53.93333333333333],[135.63333333333333,-53.61666666666667],[111.68333333333334,-48.03333333333333],[96.46666666666667,-38.483333333333334],[90.88333333333334,-33.81666666666667]]
2018-12-01	http://www.satobs.org/seesat/Dec-2018/0140.html	[[-122.9,-3.8],[-122.3,-4.05],[-119.5,-8.65],[-120.15,-8.9],[-122.9,-3.8]]
2018-11-01	http://www.satobs.org/seesat/Nov-2018/0082.html	[[-121.01666666666667,32.766666666666666],[-120.18333333333334,32.03333333333333],[-120.45,31.15],[-120.83333333333333,30.683333333333334],[-121.51666666666667,30.333333333333332],[-121.93333333333334,30.433333333333334],[-122.01666666666667,31.166666666666668],[-122.06666666666666,32.233333333333334],[-121.01666666666667,32.766666666666666]]
2018-11-01	http://www.satobs.org/seesat/Nov-2018/0082.html	[[-152.7,-0.8666666666666667],[-155.16666666666666,-0.3333333333333333],[-158.11666666666667,7.1],[-156.85,15.45],[-153.5,19.45],[-147.98333333333332,18.716666666666665],[-147.31666666666666,14.383333333333333],[-149.11666666666667,5.583333333333333],[-152.7,-0.8666666666666667]]
2017-02-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20170203-nz03-030038_0.pdf	[[-143.0,-47.0],[-113.0,-47.0],[-113.0,-53.0],[-143.0,-53.0],[-143.0,-47.0]]
2017-02-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20170217-nz04-039046.pdf	[[170.8,-60.06666666666667],[170.9,-61.71666666666667],[160.0,-61.63333333333333],[160.0,-58.28333333333333],[170.8,-60.06666666666667]]
2017-01-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20170203-nz03-030038_0.pdf	[[-92.66666666666667,-38.0],[-90.0,-41.916666666666664],[-127.13333333333334,-52.03333333333333],[-146.21666666666667,-52.56666666666667],[-148.63333333333333,-49.983333333333334],[-128.55,-50.56666666666667],[-92.66666666666667,-38.0]]
2016-12-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20161209-nz25-240256.pdf	[[-167.0,-46.0],[-106.0,-46.0],[-106.0,-53.0],[-155.0,-53.0],[-167.0,-48.45],[-167.0,-46.0]]
2016-10-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20161014-nz21-199208.pdf	[[-94.93333333333334,-41.0],[-92.18333333333334,-44.13333333333333],[-128.28333333333333,-52.43333333333333],[-147.06666666666666,-52.266666666666666],[-149.5,-49.43333333333333],[-129.85,-50.75],[-94.93333333333334,-41.0]]
2016-06-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160624-nz13-124146.pdf	[[-130.0,-30.5],[-130.0,-50.0],[-160.0,-50.0],[-160.0,-30.5],[-130.0,-30.5]]
2016-05-29	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160527-nz11-111115.pdf	[[-126.03333333333333,-57.8],[-122.13333333333334,-60.65],[162.93333333333334,-62.916666666666664],[165.81866666666667,-59.706],[-126.03333333333333,-57.8]]
2016-04-27	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160429-nz09-088097.pdf	[[-90.0,-30.0],[-90.0,-60.0],[-175.0,-60.0],[-175.0,-30.0],[-90.0,-30.0]]
2016-02-07	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160205-nz03-027036.pdf	[[-126.02,-57.48],[-122.08,-60.39],[162.56,-62.55],[165.82,-59.71],[-126.02,-57.48]]
2016-02-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160219-nz04-037043.pdf	[[-131.0,-30.0],[-131.0,-50.0],[-160.0,-53.0],[-171.0,-46.0],[-174.0,-42.0],[-162.0,-35.0],[-145.0,-30.0],[-131.0,-30.0]]
2016-01-20	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160122-nz02-022026.pdf	[[-92.0,-7.0],[-92.0,-9.0],[-112.0,-15.0],[-134.0,-19.0],[-134.0,-17.0],[-112.0,-13.0],[-92.0,-7.0]]
2015-09-28	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20151002-nz20-190203_0.pdf	[[-94.0,-11.0],[-94.0,-13.0],[-134.0,-16.0],[-134.0,-14.0],[-94.0,-11.0]]
2015-08-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20150821-nz17-166169_0.pdf	[[-106.0,-46.0],[-106.0,-53.0],[-155.0,-53.0],[-167.0,-48.45],[-167.0,-46.0],[-106.0,-46.0]]
2015-06-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20150626-nz13-135144_0.pdf	[[77.63333333333334,-16.683333333333334],[111.25,-41.63333333333333],[163.58333333333334,-50.5],[163.18333333333334,-53.55],[107.36666666666666,-45.61666666666667],[75.6,-19.433333333333334],[77.63333333333334,-16.683333333333334]]
2015-03-09	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20150306-nz05-053061_0.pdf	[[-133.0,-17.0],[-115.0,-14.5],[-93.0,-8.5],[-93.0,-10.5],[-115.0,-16.5],[-133.0,-19.0],[-133.0,-17.0]]
2014-11-13	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20141031-nz22-231239_0.pdf	[[155.0,-46.5],[176.0,-57.0],[172.56666666666666,-60.0],[151.0,-49.25],[155.0,-46.5]]
2014-10-15	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20141017-nz21-225230_0.pdf	[[-93.0,-8.0],[-93.0,-10.0],[-113.0,-15.0],[-133.0,-18.0],[-133.0,-16.0],[-113.0,-13.0],[-93.0,-8.0]]
2014-04-04	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20140404-nz07-085099_0.pdf	[[-93.0,-7.5],[-93.0,-9.5],[-115.0,-16.0],[-133.0,-19.0],[-133.0,-17.0],[-115.0,-14.0],[-115.0,-14.0]]
2014-03-23	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20140321-nz06-075084_0.pdf	[[165.82,-59.71],[-126.02,-57.48],[-122.08,-60.39],[162.56,-62.55],[162.56,-62.55]]
2014-02-14	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20140221-nz04-058063_0.pdf	[[-130.0,-30.0],[-130.0,-50.0],[-160.0,-50.0],[-160.0,-30.0],[-160.0,-30.0]]
2013-11-05	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20131108-nz23-226237_0.pdf	[[-90.0,-7.0],[-90.0,-9.0],[-130.0,-19.0],[-130.0,-17.0],[-130.0,-17.0]]
2013-10-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20131025-nz22-212225_0.pdf	[[-130.0,-30.0],[-130.0,-50.0],[-160.0,-50.0],[-160.0,-30.0],[-160.0,-30.0]]
2013-08-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130802-nz16-162174_0.pdf	[[-167.0,-46.0],[-106.0,-46.0],[-106.0,-53.0],[-155.0,-53.0],[-167.0,-48.45],[-167.0,-48.45]]
2013-08-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130830-nz18-182189_0.pdf	[[-150.0,11.0],[-149.0,11.0],[-149.0,10.0],[-154.75,-16.1],[-155.75,-16.1],[-153.5,0.0],[-151.0,10.0],[-151.0,10.0]]
2013-07-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130705-nz14-141151_0.pdf	[[-93.0,-8.0],[-92.0,-10.0],[-133.0,-19.0],[-133.0,-17.0],[-133.0,-17.0]]
2013-06-05	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130607-nz12-123132_0.pdf	[[-43.45,-144.58333333333334],[-52.483333333333334,-142.2],[-49.38333333333333,-172.76666666666668],[-49.38333333333333,-172.76666666666668]]
2013-06-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130621-nz13-133140_0.pdf	[[-139.31666666666666,-48.53333333333333],[-152.53333333333333,-43.05],[-155.26666666666668,-37.166666666666664],[-142.08333333333334,-44.03333333333333],[-105.06666666666666,-50.65],[-100.28333333333333,-52.61666666666667],[-100.28333333333333,-52.61666666666667]]
2013-05-03	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130510-nz10-094110_0.pdf	[[-33.1,-93.2],[-44.483333333333334,-91.51666666666667],[-44.666666666666664,-88.25],[-44.666666666666664,-88.25]]
